0.761856,0.420147,0.712723,0.287766,0.017753,0.391990,0.112317,0.000000,0.270870,0.743402,0.676246,0.165787
0.764029,0.372918,0.690452,0.290598,0.017143,0.389353,0.106549,0.000000,0.256109,0.748583,0.680254,0.178886
0.763175,0.407814,0.698779,0.289622,0.017118,0.391990,0.106940,0.000000,0.260313,0.746139,0.680156,0.179472
0.761905,0.424713,0.713260,0.290110,0.017314,0.390110,0.108700,0.000000,0.271652,0.747312,0.678690,0.179961
0.762027,0.425934,0.714896,0.292039,0.017314,0.391038,0.112219,0.000000,0.279472,0.747507,0.678299,0.182405
0.762882,0.427741,0.715726,0.293333,0.017460,0.393187,0.111730,0.000000,0.288074,0.747801,0.677908,0.183187
0.762784,0.427253,0.713822,0.292772,0.017534,0.394335,0.112023,0.000000,0.286217,0.747801,0.677615,0.183871
0.763052,0.428987,0.717778,0.291331,0.017192,0.397924,0.110753,0.000000,0.290323,0.747898,0.675367,0.184164
0.764493,0.430720,0.717802,0.292772,0.017778,0.402344,0.111828,0.000000,0.290127,0.748974,0.678690,0.184653
0.764127,0.424786,0.705397,0.292674,0.017485,0.399121,0.113490,0.000000,0.288465,0.750733,0.677908,0.183773
0.765226,0.422906,0.706618,0.292576,0.017460,0.398608,0.109677,0.000000,0.289932,0.752590,0.679668,0.177322
0.765324,0.420317,0.706203,0.293285,0.017680,0.400195,0.109286,0.000000,0.288954,0.753372,0.680547,0.183675
0.765372,0.425665,0.709109,0.300684,0.017241,0.398706,0.105865,0.000000,0.289150,0.752590,0.680254,0.176833
0.766007,0.424200,0.707179,0.296215,0.017509,0.400879,0.105279,0.000000,0.288074,0.753959,0.679961,0.181232
0.766178,0.428254,0.711111,0.296215,0.017631,0.401319,0.103324,0.000000,0.290811,0.752981,0.680450,0.182405
0.760684,0.434530,0.740366,0.293895,0.018193,0.401612,0.097263,0.000000,0.324829,0.721212,0.662366,0.180938
0.687839,0.455653,0.805153,0.307595,0.018632,0.388254,0.079863,0.000000,0.367546,0.661877,0.562072,0.155327
0.668010,0.421319,0.637265,0.323297,0.017973,0.325739,0.084360,0.000000,0.288856,0.654350,0.548094,0.147996
0.730501,0.290940,0.532479,0.380171,0.019634,0.319292,0.000000,0.000000,0.204692,0.738025,0.685435,0.191691
0.820488,0.439707,0.824640,0.435140,0.023712,0.380147,0.110068,0.000000,0.235582,0.795308,0.785435,0.306354
0.833211,0.461685,0.960342,0.457192,0.024469,0.394628,0.132258,0.000000,0.288172,0.828934,0.824145,0.325611
0.760757,0.505714,0.958803,0.319878,0.018242,0.386545,0.108309,0.000000,0.327370,0.755327,0.786510,0.211926
0.656947,0.450476,0.651795,0.138950,0.011258,0.320440,0.063148,0.000000,0.262072,0.627468,0.722385,0.000000
