0.520073,0.472747,0.978437,0.458999,0.025324,0.469353,0.251906,0.000000,0.230010,0.470381,0.149267,0.170674
0.525519,0.463346,0.976630,0.473016,0.025788,0.455116,0.165982,0.000000,0.239394,0.484457,0.143793,0.190616
0.533553,0.476654,0.976435,0.476825,0.025739,0.463492,0.238514,0.000000,0.239980,0.493646,0.149951,0.194819
0.531624,0.495556,0.972503,0.477973,0.026081,0.479951,0.249365,0.000000,0.246432,0.497067,0.149951,0.189443
0.558632,0.486838,0.960464,0.482344,0.025910,0.493529,0.334702,0.000000,0.273412,0.545650,0.157478,0.207918
0.521001,0.531746,0.951819,0.476142,0.026227,0.515653,0.340665,0.000000,0.299120,0.526002,0.158749,0.147898
0.595360,0.471917,0.953309,0.510598,0.028059,0.519121,0.337634,0.000000,0.287781,0.546530,0.160117,0.191202
0.569402,0.483004,0.957998,0.528083,0.028694,0.520342,0.332063,0.000000,0.285924,0.517009,0.142620,0.170870
0.520635,0.512576,0.984249,0.503297,0.028034,0.516166,0.303715,0.000000,0.258847,0.464516,0.139785,0.155718
0.579048,0.467741,0.976313,0.578339,0.030916,0.519707,0.289736,0.000000,0.253275,0.490029,0.142131,0.189443
0.535653,0.433944,0.981123,0.425372,0.024493,0.532454,0.338123,0.000000,0.288661,0.492669,0.131476,0.149951
0.548498,0.359194,0.979267,0.469646,0.026178,0.514945,0.340567,0.000000,0.238905,0.531965,0.142327,0.204497
0.641539,0.334090,0.995824,0.499219,0.027839,0.530110,0.351613,0.000000,0.275660,0.537048,0.131672,0.230792
0.664786,0.331258,0.991600,0.590037,0.032259,0.527253,0.336852,0.000000,0.270283,0.547214,0.136070,0.266667
0.640293,0.332186,0.995897,0.565421,0.030598,0.531893,0.340078,0.000000,0.274976,0.544379,0.131281,0.257185
0.641563,0.336581,0.996313,0.583809,0.031477,0.531184,0.340958,0.000000,0.277322,0.528739,0.130596,0.256696
0.651575,0.336654,0.995287,0.585055,0.031697,0.537167,0.341740,0.000000,0.277028,0.548387,0.131965,0.260802
0.653504,0.339292,0.996557,0.592357,0.031941,0.535067,0.341935,0.000000,0.279179,0.550147,0.133333,0.263050
