0.747155,0.612186,0.891184,0.700684,0.037485,0.534310,0.333040,0.000000,0.337439,0.551906,0.167644,0.316325
0.745592,0.601172,0.888791,0.703321,0.037485,0.532601,0.324145,0.000000,0.334995,0.548680,0.167840,0.325415
0.747155,0.602418,0.888718,0.705592,0.037729,0.532186,0.319453,0.000000,0.336461,0.544379,0.169110,0.339296
0.746886,0.600342,0.887204,0.705617,0.037387,0.531331,0.296970,0.000000,0.332942,0.609971,0.167742,0.329325
0.747155,0.608034,0.887521,0.695995,0.037167,0.535482,0.289150,0.000000,0.332942,0.557674,0.174291,0.319844
0.745885,0.596313,0.889475,0.689182,0.037021,0.534530,0.307625,0.000000,0.336168,0.559922,0.187781,0.331867
0.741832,0.604029,0.892821,0.680391,0.036337,0.535043,0.317791,0.000000,0.336266,0.556305,0.206647,0.324340
0.742662,0.601514,0.895336,0.689866,0.036777,0.535849,0.319550,0.000000,0.340958,0.559629,0.170283,0.331867
0.744225,0.602344,0.894628,0.695385,0.036752,0.538510,0.320039,0.000000,0.340958,0.565787,0.169697,0.335875
0.746081,0.600855,0.892381,0.698144,0.037241,0.537289,0.320332,0.000000,0.339296,0.568622,0.170088,0.338221
0.746447,0.603516,0.892821,0.697729,0.037753,0.543052,0.329130,0.000000,0.340567,0.565298,0.170772,0.339394
0.746325,0.603614,0.894676,0.697314,0.036777,0.543126,0.329228,0.000000,0.344184,0.566862,0.170479,0.337928
0.745470,0.604127,0.895604,0.695897,0.037167,0.542979,0.329423,0.000000,0.343891,0.559238,0.170479,0.338025
0.744957,0.604860,0.896777,0.696728,0.036972,0.542466,0.319159,0.000000,0.343793,0.551320,0.170088,0.318377
0.744786,0.601001,0.895263,0.696459,0.037192,0.539170,0.308700,0.000000,0.341740,0.556989,0.170577,0.334018
0.743712,0.601099,0.895702,0.695556,0.037729,0.539267,0.308602,0.000000,0.341153,0.559726,0.169795,0.345552
0.745275,0.603370,0.896410,0.697656,0.037363,0.542857,0.317791,0.000000,0.343891,0.566471,0.170577,0.345455
0.746764,0.604078,0.895360,0.699316,0.037900,0.544518,0.324927,0.000000,0.345064,0.569892,0.170968,0.350342
0.746569,0.605177,0.895311,0.695849,0.037118,0.545446,0.331574,0.000000,0.346237,0.566764,0.170772,0.336266
0.745665,0.604078,0.895727,0.699243,0.037729,0.544542,0.329717,0.000000,0.347214,0.569599,0.170968,0.324927
0.746398,0.604542,0.895409,0.701001,0.037924,0.543541,0.325611,0.000000,0.344673,0.571359,0.171065,0.327273
0.746569,0.603663,0.897070,0.699829,0.037338,0.543321,0.318182,0.000000,0.346041,0.572239,0.170674,0.328446
0.746496,0.605641,0.895409,0.699292,0.037656,0.543663,0.320039,0.000000,0.347214,0.573118,0.170772,0.327273
0.746691,0.603712,0.893236,0.700904,0.037875,0.546178,0.327468,0.000000,0.346725,0.573607,0.170479,0.323949
0.749255,0.605153,0.896313,0.702295,0.037607,0.547643,0.335875,0.000000,0.348094,0.595601,0.171848,0.318377
0.749231,0.621392,0.896777,0.702784,0.037827,0.553382,0.343793,0.000000,0.353470,0.593353,0.173509,0.315934
0.749060,0.615507,0.899731,0.688767,0.036972,0.551111,0.343597,0.000000,0.352102,0.582405,0.172336,0.284066
0.748718,0.605519,0.901001,0.675458,0.036459,0.555580,0.345161,0.000000,0.353177,0.595797,0.170968,0.295503
0.750134,0.605519,0.899707,0.691844,0.036850,0.552869,0.350635,0.000000,0.339492,0.599902,0.173118,0.325806
0.749280,0.589573,0.897802,0.699756,0.037509,0.541221,0.342033,0.000000,0.336950,0.592473,0.173998,0.344575
0.748034,0.593065,0.898462,0.689255,0.037167,0.543101,0.336950,0.000000,0.337439,0.585924,0.171554,0.337928
0.747839,0.589573,0.895824,0.692772,0.037729,0.535238,0.334213,0.000000,0.334604,0.588074,0.172532,0.354252
0.747228,0.591429,0.898510,0.693382,0.037045,0.539780,0.334604,0.000000,0.337928,0.592278,0.172532,0.359726
0.753187,0.589646,0.895311,0.697289,0.037363,0.538168,0.332454,0.000000,0.335679,0.584360,0.171359,0.362170
0.748400,0.590696,0.895897,0.697167,0.037338,0.534652,0.324242,0.000000,0.335582,0.574096,0.169990,0.358553
0.747912,0.590891,0.896484,0.695751,0.037729,0.535604,0.315054,0.000000,0.335484,0.573998,0.169795,0.359042
0.746911,0.591795,0.895922,0.697118,0.037436,0.537143,0.321505,0.000000,0.336364,0.572923,0.169892,0.361584
0.744713,0.593724,0.900244,0.694286,0.037534,0.539072,0.322190,0.000000,0.336852,0.575073,0.169697,0.353763
0.746374,0.594212,0.895385,0.695971,0.037241,0.539463,0.324145,0.000000,0.337928,0.594526,0.169892,0.361193
0.748132,0.594359,0.894066,0.698877,0.037534,0.540781,0.324242,0.000000,0.337830,0.595112,0.170186,0.362366
0.748864,0.594481,0.894017,0.699805,0.037949,0.541197,0.324927,0.000000,0.337830,0.597165,0.169795,0.363441
0.749353,0.593748,0.895385,0.700024,0.037241,0.541099,0.321701,0.000000,0.338905,0.593744,0.169599,0.361095
0.747741,0.595824,0.895922,0.699243,0.036630,0.543370,0.320919,0.000000,0.339785,0.594819,0.169697,0.362170
0.747399,0.594994,0.895824,0.700708,0.037241,0.541123,0.313881,0.000000,0.339296,0.595210,0.169697,0.361779
