0,2943,0,0,2653,1424
0,2965,0,0,2639,1416
0,2960,0,0,2697,1467
0,2958,0,0,2722,1472
0,2966,0,0,2737,1485
0,2985,0,0,2759,1450
0,2980,0,0,2766,1487
0,2978,0,0,2755,1428
0,2954,0,0,2714,1343
0,2832,0,0,2720,1143
0,2870,0,0,2551,1026
0,2911,0,0,2552,931
0,2743,0,0,2554,864
0,2716,0,0,2519,700
0,2740,0,0,2548,770
0,2761,0,0,2528,827
0,2660,0,0,2529,819
0,2692,0,0,2326,665
0,2872,0,0,2558,840
0,2941,0,0,2666,1189
0,2992,0,0,2544,1092
0,2990,0,0,2535,1009
0,2830,0,0,2440,875
0,2898,0,0,2323,818
0,2931,0,0,2426,862
0,2809,0,0,2477,990
0,2784,0,0,2497,1001
0,2774,0,0,2485,965
0,2772,0,0,2514,1013
0,2791,0,0,2505,989
0,2769,0,0,2499,992
0,2660,0,0,2518,872
0,2710,0,0,2524,947
0,2751,0,0,2514,1048
0,2725,0,0,2515,1062
0,2785,0,0,2510,1045
0,2760,0,0,2522,1055
0,2745,0,0,2530,1062
0,2727,0,0,2528,1044
0,2758,0,0,2524,1078
0,2763,0,0,2539,1072
0,2799,0,0,2556,1126
0,2874,0,0,2572,988
0,2836,0,0,2576,1053
0,2885,0,0,2590,1028
0,2879,0,0,2606,1067
0,2973,0,0,2492,806
0,2980,0,0,2589,1184
0,923,0,0,417,0
0,925,0,0,409,0
0,848,0,0,476,0
0,911,0,0,466,0
0,939,0,0,423,0
0,929,0,0,432,0
0,952,0,0,329,0
0,883,0,0,338,0
0,484,0,0,275,0
0,0,0,0,239,0
0,4,0,0,269,0
0,46,0,0,271,0
0,57,0,0,276,0
0,63,0,0,259,0
0,93,0,0,307,0
0,258,0,0,328,0
0,724,0,0,516,0
0,911,0,0,754,0
0,969,0,0,720,0
0,848,0,0,746,0
0,854,0,0,789,0
0,870,0,0,519,0
0,880,0,0,492,0
0,969,0,0,443,0
0,962,0,0,354,0
0,1034,0,0,321,0
0,1060,0,0,359,0
0,1038,0,0,345,0
0,1079,0,0,303,0
0,1093,0,0,344,0
0,1076,0,0,357,0
0,985,0,0,316,0
0,1080,0,0,506,0
0,1029,0,0,773,0
0,1016,0,0,885,0
0,1074,0,0,942,0
0,1035,0,0,772,0
0,959,0,0,696,0
0,874,0,0,599,0
0,923,0,0,526,0
0,923,0,0,554,0
0,835,0,0,664,0
0,802,0,0,644,0
0,917,0,0,780,0
0,902,0,0,693,0
0,917,0,0,698,0
0,944,0,0,669,0
0,736,0,0,589,0
0,619,0,0,362,0
0,742,0,0,397,0
0,876,0,0,416,0
0,924,0,0,379,0
0,990,0,0,401,0
0,990,0,0,540,0
0,1035,0,0,393,0
0,1059,0,0,406,0
0,1102,0,0,492,0
0,1000,0,0,612,0
0,1015,0,0,621,0
0,1009,0,0,579,0
0,965,0,0,636,0
0,927,0,0,680,0
0,1049,0,0,658,0
0,932,0,0,714,0
0,932,0,0,742,0
0,998,0,0,787,0
0,995,0,0,812,0
0,1023,0,0,921,0
0,1381,0,0,862,0
0,1479,0,0,924,0
0,1467,0,0,963,0
0,1393,0,0,820,0
0,1397,0,0,914,0
0,1024,0,0,897,0
0,855,0,0,1029,0
0,803,0,0,833,0
0,906,0,0,692,0
0,1006,0,0,731,0
0,885,0,0,774,0
0,934,0,0,699,0
0,1039,0,0,506,0
0,1094,0,0,569,0
0,1099,0,0,625,0
0,1091,0,0,568,0
0,1053,0,0,643,0
0,1581,0,0,720,0
0,1725,0,0,857,0
0,1666,0,0,903,0
0,1405,0,0,934,0
0,829,0,0,862,0
0,562,0,0,446,0
0,606,0,0,403,0
0,540,0,0,503,0
0,179,0,0,435,0
0,552,0,0,466,0
0,29,0,0,418,0
0,0,0,0,351,0
0,523,0,0,411,0
0,586,0,0,381,0
0,531,0,0,440,0
0,571,0,0,460,0
0,592,0,0,494,0
0,581,0,0,504,0
0,614,0,0,511,0
0,623,0,0,517,0
0,628,0,0,542,0
0,647,0,0,533,0
0,647,0,0,517,0
0,658,0,0,531,0
0,657,0,0,487,0
0,673,0,0,548,0
0,671,0,0,540,0
0,642,0,0,533,0
0,641,0,0,566,0
0,649,0,0,544,0
0,660,0,0,555,0
1775,2855,1107,0,1755,2232
45,1812,12,0,2736,885
0,1803,3,0,2664,761
246,1902,0,0,2830,887
409,1878,0,0,2916,930
249,1889,0,0,2761,648
166,1878,0,0,2766,694
210,1898,0,0,2810,731
219,1965,0,0,2790,674
216,1947,0,0,2805,850
211,1927,0,0,2812,881
167,1965,0,0,2805,848
207,1967,0,0,2784,847
185,1980,0,0,2803,880
245,2004,0,0,2804,892
172,1938,0,0,2807,871
172,1931,0,0,2816,812
215,1890,0,0,2858,893
212,1905,0,0,2855,878
208,1889,0,0,2863,857
214,1909,0,0,2875,876
322,1992,0,0,2875,886
314,1988,0,0,2866,925
325,1961,0,0,2872,939
370,2068,0,0,2821,876
230,1883,0,0,2876,843
225,1865,0,0,2869,858
235,1906,0,0,2872,822
217,1845,0,0,2870,815
239,1871,0,0,2875,833
237,1882,0,0,2875,838
226,1893,0,0,2877,850
298,1899,0,0,2883,893
263,1990,0,0,2871,871
199,1845,0,0,2897,892
186,1859,0,0,2899,912
203,1917,0,0,2892,843
165,1867,0,0,2895,849
197,1896,0,0,2911,835
201,1893,0,0,2902,837
188,1891,0,0,2899,890
213,1901,0,0,2902,900
216,1909,0,0,2897,896
204,1907,0,0,2906,907
215,1905,0,0,2902,896
220,1910,0,0,2905,918
194,1901,0,0,2915,880
205,1908,0,0,2906,868
207,1904,0,0,2910,860
256,1420,0,0,2825,784
246,1456,0,0,2834,714
0,1395,0,0,2884,747
201,1426,0,0,2905,806
260,1474,0,0,2906,860
435,1668,0,0,2936,914
375,1860,81,0,3046,1082
407,2033,128,0,3105,1180
0,1395,0,0,2622,302
0,1367,0,0,2571,282
0,1400,0,0,2621,372
0,1382,0,0,2678,338
0,1380,0,0,2737,442
0,1323,0,0,2721,403
0,1384,0,0,2694,396
0,2830,0,0,2689,1650
0,2887,0,0,2745,2053
0,2969,0,0,2685,1983
0,2968,0,0,2680,1835
0,2748,0,0,2562,1019
0,1706,0,0,0,0
0,559,0,0,17,0
0,0,0,0,0,0
0,380,0,0,84,0
0,1126,0,0,321,0
0,1126,0,0,373,0
0,1207,0,0,414,0
0,1264,0,0,596,0
0,1273,0,0,659,0
0,2354,0,0,1032,0
0,3096,0,0,1595,0
0,2728,0,0,1488,0
0,2142,0,0,956,0
0,1171,0,0,30,0
0,1205,0,0,0,0
0,2078,0,0,295,0
0,2518,0,0,883,0
0,2546,0,0,939,0
0,2548,0,0,1075,0
0,2619,0,0,1073,0
0,2639,0,0,1165,0
0,2658,0,0,1214,0
0,2694,0,0,1326,0
0,2699,0,0,1365,0
0,2711,0,0,1364,0
0,2722,0,0,1355,0
0,2734,0,0,1399,0
0,2717,0,0,1351,0
0,2729,0,0,1382,0
0,2731,0,0,1371,0
0,2750,0,0,1459,0
0,2754,0,0,1448,0
0,2762,0,0,1448,0
0,2771,0,0,1451,0
0,2762,0,0,1425,0
0,2753,0,0,1444,0
0,2764,0,0,1435,0
0,2768,0,0,1460,0
0,2801,0,0,1475,0
0,2793,0,0,1464,0
0,2802,0,0,1497,0
0,2793,0,0,1482,0
0,2805,0,0,1478,0
0,2797,0,0,1526,0
0,2804,0,0,1546,0
