3064,1680,1852,1011,1394,2697,2634,0,898,1973
3122,1707,1873,934,1475,2719,2692,0,939,1966
3146,1714,1882,938,1447,2720,2686,0,927,1978
3183,1653,1776,942,1458,2712,2730,0,932,1980
3207,1732,1886,920,1464,2713,2608,0,907,1992
3179,1688,1821,977,1518,2699,2734,0,960,2000
3151,1751,1846,990,1540,2705,2699,0,974,1998
3197,1749,1828,1033,1535,2689,2718,0,975,2007
3209,1771,1857,1037,1579,2695,2701,0,988,2004
3193,1781,1887,1046,1578,2723,2668,0,998,1994
3211,1774,1860,1019,1586,2719,2733,0,1004,2003
3224,1762,1862,1060,1594,2712,2704,0,995,2006
3194,1793,1875,1048,1594,2723,2717,0,1007,2001
3202,1801,1896,1052,1605,2713,2727,0,1002,1999
3197,1796,1890,1053,1621,2727,2736,0,998,1990
3202,1786,1877,1066,1623,2718,2706,0,1006,1997
3205,1805,1917,1054,1618,2729,2732,0,1004,2003
3225,1820,1926,1000,1644,2713,2741,0,1021,1987
3224,1801,1906,1038,1628,2732,2734,0,1046,1994
3220,1818,1923,1004,1610,2732,2726,0,1020,1998
3222,1839,1947,1006,1610,2720,2733,0,1018,2000
3232,1823,1950,999,1624,2728,2735,0,1039,2006
3237,1811,1899,1004,1627,2734,2745,0,1053,2000
3274,1836,1909,936,1631,2713,2759,0,1062,2000
3226,1829,1906,974,1620,2715,2768,0,1041,1995
3265,1830,1895,982,1636,2727,2747,0,1040,1989
3234,1812,1867,978,1616,2719,2762,0,1033,1995
3240,1809,1891,961,1554,2736,2748,0,1027,1983
3086,1794,1820,1010,1602,2713,2592,0,1015,2012
3286,1943,1884,956,1585,2738,2777,0,1025,1919
3288,1893,1880,986,1600,2706,2792,0,1037,1938
3338,1981,1872,952,1697,2809,2804,0,1091,1920
3430,1809,1871,893,1628,2682,2702,0,1143,2038
2997,2576,1603,3393,1839,2740,1633,0,720,0
2970,2551,1541,3423,1874,2756,1705,0,776,0
3010,2607,1591,3426,1913,2779,1700,0,784,0
2884,2551,1358,3362,1930,2796,1575,0,761,0
2893,2517,1311,3350,1893,2737,1583,0,773,0
2896,2535,1378,3329,1773,2632,1519,0,711,0
2905,2551,1396,3322,1826,2665,1507,0,763,0
2915,2566,1398,3326,1832,2665,1512,0,774,0
2913,2574,1409,3319,1852,2680,1513,0,788,0
2914,2572,1427,3320,1871,2657,1514,0,802,0
