831,2375,237,0,1052,2702,0,0,754,0
829,2357,247,23,1145,2693,0,0,802,0
879,2454,340,306,999,2909,0,0,596,0
1231,2568,627,0,252,1490,0,0,295,0
1069,2393,154,0,589,2266,0,0,513,0
1086,2299,505,269,917,2899,247,0,692,0
1138,2369,362,196,760,2770,139,0,588,0
1180,2390,386,169,829,2779,139,0,698,0
1181,2430,318,0,537,2293,0,0,303,0
1187,2407,320,0,694,2532,20,0,652,0
1194,2436,334,0,714,2586,20,0,684,0
1225,2435,365,0,683,2596,76,0,674,0
1220,2431,365,97,763,2645,77,0,705,0
1221,2450,400,62,790,2660,106,0,723,0
1210,2469,393,75,781,2591,95,0,687,0
1363,2543,378,235,685,2538,92,0,499,0
1261,2421,386,303,1004,2796,165,0,793,0
1195,2499,450,312,806,2812,182,0,610,0
1086,2475,415,206,965,2815,141,0,743,0
1110,2445,432,180,1098,2900,149,0,837,0
1335,2514,444,502,902,2659,144,0,707,0
1237,2464,508,274,1093,2837,160,0,821,0
1107,2460,497,20,957,2844,127,0,777,0
1163,2476,419,155,966,2838,113,0,761,0
1174,2494,474,223,965,2824,154,0,720,0
1317,2481,431,201,948,2840,164,0,737,0
1188,2556,454,126,604,2745,164,0,417,0
4090,2431,1512,0,495,2614,927,0,424,0
4095,2767,1967,0,213,1647,614,504,278,314
3587,3338,2268,0,1212,1478,0,1147,602,0
4009,3313,2414,0,280,0,0,1275,0,61
4095,3055,2411,0,0,0,0,1126,0,454
4095,3069,2416,0,0,0,0,1305,0,533
4095,3009,2245,0,0,0,0,874,0,345
3228,2972,1744,0,528,1618,310,333,213,0
2183,2923,1269,0,560,962,246,0,136,0
1606,2997,962,0,662,707,0,0,197,0
1710,2961,1059,0,982,819,0,0,385,0
1914,2984,1137,0,866,819,0,0,380,0
2055,2990,1200,0,754,707,0,0,359,0
2173,3001,1227,0,769,766,0,0,386,0
2490,2865,1187,0,854,631,0,0,361,0
2497,2915,1240,0,708,475,6,0,321,0
2429,2955,1133,0,845,912,0,0,369,0
2300,2927,1412,0,884,1502,194,0,338,0
2284,2679,1189,0,1294,1958,310,0,700,0
2487,2826,1285,0,921,1081,0,0,376,0
2450,2770,1179,0,950,1049,0,0,446,0
3856,3339,2689,2720,0,0,2710,369,0,2633
3849,3344,2720,2710,0,0,2715,315,0,2642
3834,3337,2705,2791,0,0,2772,370,0,2635
3840,3338,2701,2799,0,0,2769,334,0,2633
